crop_id,temp_min_c,temp_max_c,annual_rainfall_min_mm,annual_rainfall_max_mm,humidity_min,humidity_max,climate_zone,water_requirement_level,irrigation_type_supported,water_ph_min,water_ph_max,climate_sensitivity_score
1,20,35,750,1500,50,75,Tropical,Medium,"Drip|Sprinkler",6.0,7.5,0.75
2,10,25,1500,2500,60,85,Temperate,High,"Sprinkler|Flood",5.5,7.0,0.85
3,20,35,1500,2500,65,90,Tropical,High,"Flood|Sprinkler",6.0,7.5,0.70
4,22,35,1000,2000,60,85,Tropical,Medium,"Flood|Drip|Sprinkler",6.0,7.5,0.60
5,18,35,1000,2000,55,80,Tropical,Medium,"Drip|Sprinkler",6.0,7.5,0.75
6,20,35,750,1500,50,75,Tropical,Low,"Drip|Rainfed",6.0,7.5,0.65
7,20,35,1500,3000,70,95,Tropical,High,"Flood|Sprinkler",6.0,7.5,0.80
8,25,40,300,700,30,55,Arid,Low,"Drip|Rainfed",7.0,8.5,0.55
9,20,40,500,1200,40,65,Tropical,Low,"Drip|Rainfed",6.0,8.0,0.50
10,20,38,500,750,40,60,Semi-arid,Low,"Drip|Rainfed",6.5,8.0,0.65
11,15,35,1500,3000,70,95,Tropical,High,"Flood|Sprinkler",5.5,7.5,0.75
12,20,45,600,1500,35,70,Tropical,Low,"Drip|Rainfed",5.5,8.0,0.45
13,20,40,250,600,25,55,Semi-arid,Low,"Drip|Rainfed",6.5,8.5,0.50
14,18,35,750,1500,50,80,Tropical,Medium,"Drip|Sprinkler",6.0,8.0,0.70
15,15,45,400,1200,30,70,Tropical,Low,"Drip|Rainfed",5.5,8.5,0.35
16,20,35,1500,2500,65,90,Tropical,High,"Flood|Sprinkler",6.0,7.5,0.75
17,8,25,1000,2000,55,80,Temperate,Medium,"Sprinkler|Drip",5.5,7.0,0.80
18,20,40,350,900,35,60,Semi-arid,Low,"Drip|Rainfed",6.0,8.5,0.45
19,25,40,300,700,25,50,Arid,Low,"Drip|Rainfed",7.0,8.5,0.55
20,25,45,200,500,20,45,Arid,Low,"Drip|Rainfed",7.0,9.0,0.65
21,18,40,650,1800,40,70,Tropical,Low,"Drip|Rainfed",5.5,8.0,0.50
22,18,35,2500,4500,70,95,Tropical,High,"Rainfed|Sprinkler",5.0,6.5,0.85
23,20,35,600,1200,45,70,Tropical,Medium,"Drip|Sprinkler",6.0,7.5,0.70
24,18,32,2000,4000,75,95,Tropical,High,"Rainfed|Sprinkler",5.0,6.5,0.90
25,5,18,1500,2500,65,85,Alpine,Medium,"Sprinkler|Rainfed",5.0,6.0,0.95
26,18,38,600,1500,45,75,Tropical,Medium,"Drip|Sprinkler",6.0,7.5,0.55
27,5,15,1500,2500,70,90,Alpine,High,"Sprinkler|Rainfed",5.0,6.0,0.95
28,18,35,200,450,20,45,Arid,Low,"Drip|Rainfed",7.0,8.5,0.60
29,15,35,1000,2500,55,80,Tropical,Medium,"Drip|Sprinkler",5.5,7.5,0.75
30,20,38,750,1500,50,75,Tropical,Medium,"Drip|Sprinkler",6.0,8.0,0.70
31,20,37,1000,2500,70,95,Tropical,High,"Flood|Drip",5.5,7.5,0.60
32,12,25,450,1000,40,65,Temperate,Medium,"Flood|Sprinkler|Drip",6.0,8.0,0.55
33,18,35,500,1200,50,75,Tropical,Medium,"Drip|Sprinkler|Flood",5.5,7.5,0.50
34,25,42,250,600,25,50,Arid,Low,"Drip|Rainfed",6.5,8.5,0.40
35,25,40,350,800,30,55,Semi-arid,Low,"Drip|Rainfed",5.5,8.5,0.40
36,20,35,400,1000,40,70,Tropical,Low,"Drip|Rainfed",5.5,7.5,0.50
37,15,30,400,750,30,55,Semi-arid,Low,"Drip|Rainfed",5.5,7.5,0.55
38,20,35,650,1200,45,70,Tropical,Low,"Drip|Rainfed",5.5,8.0,0.50
39,25,38,500,1000,50,75,Tropical,Low,"Drip|Rainfed",6.0,7.5,0.45
40,25,35,750,1200,55,80,Tropical,Medium,"Drip|Sprinkler",6.0,7.5,0.50
41,12,28,400,750,35,60,Temperate,Low,"Drip|Rainfed",5.5,7.5,0.55
42,15,28,500,1000,50,75,Temperate,Medium,"Drip|Sprinkler",6.0,7.5,0.60
43,20,35,650,1200,50,75,Tropical,Medium,"Drip|Sprinkler",6.0,7.5,0.50
44,22,35,500,1000,45,70,Tropical,Low,"Drip|Rainfed",5.5,7.5,0.50
45,12,28,350,750,35,60,Temperate,Low,"Drip|Rainfed",5.5,8.0,0.50
46,20,35,500,1000,45,70,Tropical,Medium,"Drip|Sprinkler",6.0,8.0,0.55
47,22,38,500,1200,45,70,Tropical,Medium,"Drip|Flood",6.0,8.5,0.60
48,25,38,1200,2500,70,90,Tropical,High,"Flood|Rainfed",5.5,7.5,0.55
49,20,40,1000,2000,55,85,Tropical,High,"Flood|Drip",5.5,8.5,0.50
50,12,25,400,800,50,75,Temperate,Medium,"Drip|Sprinkler",5.5,7.0,0.65
51,18,32,500,1200,50,80,Tropical,Medium,"Drip|Sprinkler",6.0,7.5,0.60
52,20,35,600,1200,50,80,Tropical,Medium,"Drip|Sprinkler",5.5,7.5,0.55
53,25,38,600,1200,50,80,Tropical,Medium,"Drip|Sprinkler",6.0,7.5,0.55
54,12,25,500,1000,55,80,Temperate,Medium,"Drip|Sprinkler",6.0,7.5,0.65
55,12,25,500,1000,55,80,Temperate,Medium,"Drip|Sprinkler",6.0,7.5,0.70
56,18,40,750,2000,45,75,Tropical,Medium,"Drip|Sprinkler|Flood",5.5,7.5,0.50
57,20,35,1500,2500,70,90,Tropical,High,"Drip|Flood",5.5,7.5,0.60
58,18,38,600,1500,45,75,Tropical,Medium,"Drip|Sprinkler",5.5,7.5,0.45
59,20,38,1000,2000,60,85,Tropical,High,"Drip|Sprinkler",6.0,7.5,0.55
60,15,35,500,1000,40,65,Mediterranean,Medium,"Drip",6.0,8.0,0.70
